book|chapter|verse|recovery_version|nestle1904
Matthew|2|13|Now when they had departed, behold, an angel of the Lord appeared in a dream to Joseph, saying, Arise, take the child and His mother and flee into Egypt, and stay there until I tell you; for Herod is going to seek the child to destroy Him.|Ἀναχωρησάντων δὲ αὐτῶν, ἰδοὺ ἄγγελος Κυρίου φαίνεται κατ’ ὄναρ τῷ Ἰωσὴφ λέγων Ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ φεῦγε εἰς Αἴγυπτον, καὶ ἴσθι ἐκεῖ ἕως ἂν εἴπω σοι· μέλλει γὰρ Ἡρῴδης ζητεῖν τὸ παιδίον τοῦ ἀπολέσαι αὐτό.
Matthew|2|14|And he arose and took the child and His mother by night and departed into Egypt,|ὁ δὲ ἐγερθεὶς παρέλαβεν τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ νυκτὸς καὶ ἀνεχώρησεν εἰς Αἴγυπτον,
Matthew|2|15|And was there until the death of Herod, in order that what was spoken by the Lord through the prophet might be fulfilled, saying, “Out of Egypt I called My Son.”|καὶ ἦν ἐκεῖ ἕως τῆς τελευτῆς Ἡρῴδου· ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ Κυρίου διὰ τοῦ προφήτου λέγοντος Ἐξ Αἰγύπτου ἐκάλεσα τὸν υἱόν μου.
Matthew|2|16|Then Herod, seeing that he had been mocked by the magi, became greatly enraged, and sending out men, he did away with all the boys who were in Bethlehem and in all its borders from two years old and under, according to the time that he had accurately determined from the magi.|Τότε Ἡρῴδης ἰδὼν ὅτι ἐνεπαίχθη ὑπὸ τῶν μάγων ἐθυμώθη λίαν, καὶ ἀποστείλας ἀνεῖλεν πάντας τοὺς παῖδας τοὺς ἐν Βηθλεὲμ καὶ ἐν πᾶσι τοῖς ὁρίοις αὐτῆς ἀπὸ διετοῦς καὶ κατωτέρω, κατὰ τὸν χρόνον ὃν ἠκρίβωσεν παρὰ τῶν μάγων.
Matthew|2|17|At that time what was spoken through Jeremiah the prophet was fulfilled, saying,|τότε ἐπληρώθη τὸ ῥηθὲν διὰ Ἰερεμίου τοῦ προφήτου λέγοντος
Matthew|2|18|“A voice in Ramah was heard, weeping and great lamentation: Rachel weeping for her children, and she would not be comforted, because they are no more.”|Φωνὴ ἐν Ῥαμὰ ἠκούσθη, κλαυθμὸς καὶ ὀδυρμὸς πολύς· Ῥαχὴλ κλαίουσα τὰ τέκνα αὐτῆς, καὶ οὐκ ἤθελεν παρακληθῆναι ὅτι οὐκ εἰσίν.
Matthew|2|19|And when Herod had died, behold, an angel of the Lord appeared in a dream to Joseph in Egypt,|Τελευτήσαντος δὲ τοῦ Ἡρῴδου, ἰδοὺ ἄγγελος Κυρίου φαίνεται κατ’ ὄναρ τῷ Ἰωσὴφ ἐν Αἰγύπτῳ
Matthew|2|20|Saying, Arise, take the child and His mother and go into the land of Israel, for those who seek the life of the child have died.|λέγων Ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ πορεύου εἰς γῆν Ἰσραήλ· τεθνήκασιν γὰρ οἱ ζητοῦντες τὴν ψυχὴν τοῦ παιδίου.
Matthew|2|21|And he arose and took the child and His mother and entered into the land of Israel.|ὁ δὲ ἐγερθεὶς παρέλαβεν τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ εἰσῆλθεν εἰς γῆν Ἰσραήλ.
Matthew|2|22|But because he heard that Archelaus was reigning over Judea in place of his father Herod, he was afraid to go there; and having been divinely instructed in a dream, he departed into the regions of Galilee.|ἀκούσας δὲ ὅτι Ἀρχέλαος βασιλεύει τῆς Ἰουδαίας ἀντὶ τοῦ πατρὸς αὐτοῦ Ἡρῴδου ἐφοβήθη ἐκεῖ ἀπελθεῖν· χρηματισθεὶς δὲ κατ’ ὄναρ ἀνεχώρησεν εἰς τὰ μέρη τῆς Γαλιλαίας,
Matthew|2|23|And he came and settled in a city called Nazareth, so that what was spoken through the prophets might be fulfilled, He shall be called a Nazarene.|καὶ ἐλθὼν κατῴκησεν εἰς πόλιν λεγομένην Ναζαρέτ· ὅπως πληρωθῇ τὸ ῥηθὲν διὰ τῶν προφητῶν ὅτι Ναζωραῖος κληθήσεται.
Matthew|3|1|Now in those days John the Baptist appeared, preaching in the wilderness of Judea|Ἐν δὲ ταῖς ἡμέραις ἐκείναις παραγίνεται Ἰωάνης ὁ βαπτιστὴς κηρύσσων ἐν τῇ ἐρήμῳ τῆς Ἰουδαίας,
Matthew|3|2|And saying, Repent, for the kingdom of the heavens has drawn near.|λέγων Μετανοεῖτε· ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν.
Matthew|3|3|For this is he who was spoken of through Isaiah the prophet, saying, “A voice of one crying in the wilderness, Prepare the way of the Lord; make straight His paths.”|οὗτος γάρ ἐστιν ὁ ῥηθεὶς διὰ Ἠσαΐου τοῦ προφήτου λέγοντος Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ Ἑτοιμάσατε τὴν ὁδὸν Κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ.
Matthew|3|4|Now this John had his garment of camel’s hair and a leather girdle around his loins, and his food was locusts and wild honey.|Αὐτὸς δὲ ὁ Ἰωάνης εἶχεν τὸ ἔνδυμα αὐτοῦ ἀπὸ τριχῶν καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ· ἡ δὲ τροφὴ ἦν αὐτοῦ ἀκρίδες καὶ μέλι ἄγριον.
Matthew|3|5|At that time Jerusalem and all Judea and all the surrounding region of the Jordan went out to him,|Τότε ἐξεπορεύετο πρὸς αὐτὸν Ἱεροσόλυμα καὶ πᾶσα ἡ Ἰουδαία καὶ πᾶσα ἡ περίχωρος τοῦ Ἰορδάνου,
Matthew|3|6|And they were baptized by him in the Jordan River as they confessed their sins.|καὶ ἐβαπτίζοντο ἐν τῷ Ἰορδάνῃ ποταμῷ ὑπ’ αὐτοῦ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν.
Matthew|3|7|But when he saw many of the Pharisees and Sadducees coming to his baptism, he said to them, Offspring of vipers, who prompted you to flee from the coming wrath?|Ἰδὼν δὲ πολλοὺς τῶν Φαρισαίων καὶ Σαδδουκαίων ἐρχομένους ἐπὶ τὸ βάπτισμα εἶπεν αὐτοῖς Γεννήματα ἐχιδνῶν, τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς;
Matthew|3|8|Produce then fruit worthy of your repentance.|ποιήσατε οὖν καρπὸν ἄξιον τῆς μετανοίας·
Matthew|3|9|And do not presume to say within yourselves, We have Abraham as our father; for I tell you that God is able, out of these stones, to raise up children to Abraham.|καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς Πατέρα ἔχομεν τὸν Ἀβραάμ· λέγω γὰρ ὑμῖν ὅτι δύναται ὁ Θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.
Matthew|3|10|And already the axe is laid at the root of the trees. Every tree therefore that does not produce good fruit is cut down and cast into the fire.|ἤδη δὲ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.
Matthew|3|11|I baptize you in water unto repentance, but He who is coming after me is stronger than I, whose sandals I am not worthy to carry. He Himself will baptize you in the Holy Spirit and fire,|ἐγὼ μὲν ὑμᾶς βαπτίζω ἐν ὕδατι εἰς μετάνοιαν· ὁ δὲ ὀπίσω μου ἐρχόμενος ἰσχυρότερός μού ἐστιν, οὗ οὐκ εἰμὶ ἱκανὸς τὰ ὑποδήματα βαστάσαι· αὐτὸς ὑμᾶς βαπτίσει ἐν Πνεύματι Ἁγίῳ καὶ πυρί·
Matthew|3|12|Whose winnowing fan is in His hand. And He will thoroughly cleanse His threshing floor and will gather His wheat into the barn, but the chaff He will burn up with unquenchable fire.|οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ, καὶ διακαθαριεῖ τὴν ἅλωνα αὐτοῦ, καὶ συνάξει τὸν σῖτον αὐτοῦ εἰς τὴν ἀποθήκην, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ.
Matthew|3|13|Then Jesus came from Galilee to the Jordan to John to be baptized by him.|Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν Ἰωάνην τοῦ βαπτισθῆναι ὑπ’ αὐτοῦ.
Matthew|3|14|But John tried to prevent Him, saying, It is I who have need of being baptized by You, and You come to me?|ὁ δὲ διεκώλυεν αὐτὸν λέγων Ἐγὼ χρείαν ἔχω ὑπὸ σοῦ βαπτισθῆναι, καὶ σὺ ἔρχῃ πρός με;
Matthew|3|15|But Jesus answered and said to him, Permit it for now, for it is fitting for us in this way to fulfill all righteousness. Then he permitted Him.|ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν αὐτῷ Ἄφες ἄρτι· οὕτως γὰρ πρέπον ἐστὶν ἡμῖν πληρῶσαι πᾶσαν δικαιοσύνην. τότε ἀφίησιν αὐτόν.
Matthew|3|16|And having been baptized, Jesus went up immediately from the water, and behold, the heavens were opened to Him, and He saw the Spirit of God descending like a dove and coming upon Him.|βαπτισθεὶς δὲ ὁ Ἰησοῦς εὐθὺς ἀνέβη ἀπὸ τοῦ ὕδατος· καὶ ἰδοὺ ἠνεῴχθησαν οἱ οὐρανοί, καὶ εἶδεν Πνεῦμα Θεοῦ καταβαῖνον ὡσεὶ περιστερὰν ἐρχόμενον ἐπ’ αὐτόν·
Matthew|3|17|And behold, a voice out of the heavens, saying, This is My Son, the Beloved, in whom I have found My delight.|καὶ ἰδοὺ φωνὴ ἐκ τῶν οὐρανῶν λέγουσα Οὗτός ἐστιν ὁ Υἱός μου ὁ ἀγαπητός, ἐν ᾧ εὐδόκησα.
Matthew|4|1|Then Jesus was led up into the wilderness by the Spirit to be tempted by the devil.|Τότε ὁ Ἰησοῦς ἀνήχθη εἰς τὴν ἔρημον ὑπὸ τοῦ Πνεύματος, πειρασθῆναι ὑπὸ τοῦ διαβόλου.
Matthew|4|2|And when He had fasted forty days and forty nights, afterward He became hungry.|καὶ νηστεύσας ἡμέρας τεσσεράκοντα καὶ τεσσεράκοντα νύκτας ὕστερον ἐπείνασεν.
Matthew|4|3|And the tempter came and said to Him, If You are the Son of God, speak that these stones may become loaves of bread.|καὶ προσελθὼν ὁ πειράζων εἶπεν αὐτῷ Εἰ Υἱὸς εἶ τοῦ Θεοῦ, εἰπὲ ἵνα οἱ λίθοι οὗτοι ἄρτοι γένωνται.
Matthew|4|4|But He answered and said, It is written, “Man shall not live on bread alone, but on every word that proceeds out through the mouth of God.”|ὁ δὲ ἀποκριθεὶς εἶπεν Γέγραπται Οὐκ ἐπ’ ἄρτῳ μόνῳ ζήσεται ὁ ἄνθρωπος, ἀλλ’ ἐπὶ παντὶ ῥήματι ἐκπορευομένῳ διὰ στόματος Θεοῦ.
Matthew|4|5|Then the devil took Him into the holy city and set Him on the wing of the temple,|Τότε παραλαμβάνει αὐτὸν ὁ διάβολος εἰς τὴν ἁγίαν πόλιν, καὶ ἔστησεν αὐτὸν ἐπὶ τὸ πτερύγιον τοῦ ἱεροῦ,
Matthew|4|6|And said to Him, If You are the Son of God, cast Yourself down; for it is written, “To His angels He shall give charge concerning You, and on their hands they shall bear You up, lest You strike Your foot against a stone.”|καὶ λέγει αὐτῷ Εἰ Υἱὸς εἶ τοῦ Θεοῦ, βάλε σεαυτὸν κάτω· γέγραπται γὰρ ὅτι Τοῖς ἀγγέλοις αὐτοῦ ἐντελεῖται περὶ σοῦ καὶ ἐπὶ χειρῶν ἀροῦσίν σε, μή ποτε προσκόψῃς πρὸς λίθον τὸν πόδα σου.
Matthew|4|7|Jesus said to him, Again, it is written, “You shall not test the Lord your God.”|ἔφη αὐτῷ ὁ Ἰησοῦς Πάλιν γέγραπται Οὐκ ἐκπειράσεις Κύριον τὸν Θεόν σου.
Matthew|4|8|Again, the devil took Him to a very high mountain and showed Him all the kingdoms of the world and their glory.|Πάλιν παραλαμβάνει αὐτὸν ὁ διάβολος εἰς ὄρος ὑψηλὸν λίαν, καὶ δείκνυσιν αὐτῷ πάσας τὰς βασιλείας τοῦ κόσμου καὶ τὴν δόξαν αὐτῶν,
Matthew|4|9|And he said to Him, All these will I give You if You will fall down and worship me.|καὶ εἶπεν αὐτῷ Ταῦτά σοι πάντα δώσω, ἐὰν πεσὼν προσκυνήσῃς μοι.
Matthew|4|10|Then Jesus said to him, Go away, Satan! For it is written, “You shall worship the Lord your God, and Him only shall you serve.”|τότε λέγει αὐτῷ ὁ Ἰησοῦς Ὕπαγε, Σατανᾶ· γέγραπται γάρ Κύριον τὸν θεόν σου προσκυνήσεις καὶ αὐτῷ μόνῳ λατρεύσεις.
Matthew|4|11|Then the devil left Him, and behold, angels came and ministered to Him.|Τότε ἀφίησιν αὐτὸν ὁ διάβολος, καὶ ἰδοὺ ἄγγελοι προσῆλθον καὶ διηκόνουν αὐτῷ.
Matthew|4|12|Now when He heard that John was delivered up, He withdrew into Galilee.|Ἀκούσας δὲ ὅτι Ἰωάνης παρεδόθη ἀνεχώρησεν εἰς τὴν Γαλιλαίαν.
Matthew|4|13|And leaving Nazareth, He came and dwelt in Capernaum, which is beside the sea in the borders of Zebulun and Naphtali,|καὶ καταλιπὼν τὴν Ναζαρὰ ἐλθὼν κατῴκησεν εἰς Καφαρναοὺμ τὴν παραθαλασσίαν ἐν ὁρίοις Ζαβουλὼν καὶ Νεφθαλείμ·
Matthew|4|14|In order that what was spoken through Isaiah the prophet might be fulfilled, saying,|ἵνα πληρωθῇ τὸ ῥηθὲν διὰ Ἠσαΐου τοῦ προφήτου λέγοντος
Matthew|4|15|“Land of Zebulun and land of Naphtali, the way to the sea, beyond the Jordan, Galilee of the Gentiles:|Γῆ Ζαβουλὼν καὶ γῆ Νεφθαλείμ, ὁδὸν θαλάσσης, πέραν τοῦ Ἰορδάνου, Γαλιλαία τῶν ἐθνῶν,
Matthew|4|16|The people sitting in darkness have seen a great light; and to those sitting in the region and shadow of death, to them light has risen.”|ὁ λαὸς ὁ καθήμενος ἐν σκοτίᾳ φῶς εἶδεν μέγα, καὶ τοῖς καθημένοις ἐν χώρᾳ καὶ σκιᾷ θανάτου φῶς ἀνέτειλεν αὐτοῖς.
Matthew|4|17|From that time Jesus began to proclaim and to say, Repent, for the kingdom of the heavens has drawn near.|Ἀπὸ τότε ἤρξατο ὁ Ἰησοῦς κηρύσσειν καὶ λέγειν Μετανοεῖτε, ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν.
Matthew|4|18|And while He was walking beside the Sea of Galilee, He saw two brothers, Simon, who is called Peter, and Andrew his brother, casting a net into the sea, for they were fishermen.|Περιπατῶν δὲ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν δύο ἀδελφούς, Σίμωνα τὸν λεγόμενον Πέτρον καὶ Ἀνδρέαν τὸν ἀδελφὸν αὐτοῦ, βάλλοντας ἀμφίβληστρον εἰς τὴν θάλασσαν· ἦσαν γὰρ ἁλεεῖς.
